vType_id,vType_length,vType_vClass,flow_begin,flow_departPos,flow_departSpeed,flow_end,flow_id,flow_number,route_edges
,,,32.62,last,max,57.99,0_192,3,-69221466#3 -69221466#0 -69221466#0.18 -10131659#5 10128856#0
,,,33.07,last,max,82.01,0_105,3,-172099960#8 -172099960#1 -145218802#37 -145218802#36
,,,33.53,last,max,34.53,0_1,1,-10128856#0 10131659#5 10131659#5.37 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 -508466788#1 -69232295#3
,,,33.98,last,max,34.98,0_770,1,gneE16 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 10150792#1 10150792#2
,,,34.43,last,max,42.14,0_372,2,139051731#16 139051731#19 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 105826050#1
,,,34.89,last,max,35.89,0_366,1,139051731#16 139051731#19 146626842#2 207412421-AddedOnRampEdge 591388255#1 -10124969#6 -10124969#5
,,,35.34,last,max,36.34,0_202,1,-69221466#3 -69221466#0 -69221466#0.18 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 -598977856#0 -10150738
,,,35.79,last,max,36.79,0_128,1,-172099960#8 -172099960#1 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 697666085#12 697666085#13 697666085#13.295 697666085#15.103 696962877#0 632830122
,,,36.25,last,max,37.25,0_477,1,363648686#0 363648686#2 363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513874#0 692513874#1
,,,36.70,last,max,71.59,0_35,2,-10137014#3 -697666085#15 -697666085#12 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 -591388261#0
,,,37.15,last,max,38.15,0_260,1,10131659#1 10131659#5 gneE41 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -145218802#37 -145218802#36
,,,38.06,last,max,39.06,0_749,1,gneE14 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 -10124969#6 -10124969#5
,,,38.51,last,max,210.23,0_303,7,10133292 10133290#0 697666085#12 697666085#13 697666085#13.295 697666085#15.103 696962877#0 632830122
,,,39.42,last,max,111.91,0_750,2,gneE14 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 10128564#0 621228441#0-AddedOnRampEdge
,,,39.87,last,max,40.87,0_480,1,363648686#2 363648686#3 363648686#5 -598977856#0 138668049
,,,40.78,last,max,41.78,0_491,1,363648686#2 363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 172099960#1 172099960#2
